0,10.1.1.1,69,0,146.137,0,40,8,0.762416,0
1,10.1.1.2,69,0,110.565,0,44,6,0.40867,0
2,10.1.1.3,69,0,141.38,0,23,8,0.514908,0
3,10.1.1.4,69,0,142.485,0,26,6,0.408643,0
4,10.1.1.5,69,0,151.429,0,38,8,0.408631,0
5,10.1.1.6,69,0,95.0152,0,37,8,0.408613,0
6,10.1.1.7,69,0,105.891,0,45,6,0.40861,0
7,10.1.1.8,69,0,140.099,0,45,10,0.408637,0
8,10.1.1.9,69,0,101.353,0,26,6,0.408627,0
9,10.1.1.10,69,0,123.266,0,41,8,0.50207,0
10,10.1.1.11,69,0,117.123,0,40,8,0.408646,0
11,10.1.1.12,69,0,129.089,0,37,8,0.408601,0
12,10.1.1.13,69,0,108.227,0,33,4,0.40866,0
13,10.1.1.14,69,0,120.339,0,25,6,0.780523,0
14,10.1.1.15,69,0,154.841,0,48,4,0.614744,0
15,10.1.1.16,69,0,151.858,0,25,10,0.478608,0
16,10.1.1.17,69,0,129.63,0,26,10,0.408627,0
17,10.1.1.18,69,0,136.075,0,41,4,0.408581,0
18,10.1.1.19,69,0,90.7061,0,31,10,0.519502,0
19,10.1.1.20,69,0,127.359,0,39,12,0.408658,0
20,10.1.1.21,69,0,80.6964,0,38,4,0.408635,0
21,10.1.1.22,69,0,98.6824,0,23,6,0.494391,0
22,10.1.1.23,69,0,90.25,0,27,6,0.408719,0
23,10.1.1.24,69,0,142.939,0,32,4,0.408621,0
24,10.1.1.25,69,0,91.7863,0,30,12,0.408607,0
25,10.1.1.26,69,0,111.484,0,24,6,0.809819,0
26,10.1.1.27,69,0,89.6621,0,48,10,0.408632,0
27,10.1.1.28,69,0,88.0045,0,29,6,0.408591,0
28,10.1.1.29,69,1,158.324,0,23,4,0.408593,0
29,10.1.1.30,69,0,96.6509,0,32,11,0.40864,0
30,10.1.1.31,69,0,120.764,0,27,6,1.24198,0
31,10.1.1.32,69,0,145.699,0,42,10,0.408659,0
32,10.1.1.33,69,0,127.807,0,45,10,0.408626,0
33,10.1.1.34,69,0,103.061,0,45,10,0.674156,0
34,10.1.1.35,69,0,130.482,0,29,6,1.11516,0
35,10.1.1.36,69,0,122.007,0,44,8,1.58811,0
36,10.1.1.37,69,0,118.402,0,35,12,0.408588,0
37,10.1.1.38,69,0,156.537,0,21,5,0.687443,0
38,10.1.1.39,69,0,102.644,0,36,8,0.535406,0
39,10.1.1.40,69,0,140.933,0,20,4,0.995955,0
40,10.1.1.41,69,0,121.592,0,39,6,0.979101,0
41,10.1.1.42,69,0,140.52,0,22,6,0.696765,0
42,10.1.1.43,69,0,111.027,0,44,12,0.408634,0
43,10.1.1.44,69,0,150.181,0,40,6,0.749694,0
44,10.1.1.45,69,0,101.791,0,41,4,0.408639,0
45,10.1.1.46,69,0,107.807,0,38,8,0.963122,0
46,10.1.1.47,69,0,143.349,0,20,2,0.538559,0
47,10.1.1.48,69,0,152.297,0,24,10,0.693578,0
48,10.1.1.49,69,0,85.2865,0,36,8,0.775835,0
49,10.1.1.50,69,0,154.405,0,42,6,0.408575,0
50,10.1.1.51,69,0,121.179,0,26,6,0.625036,0
51,10.1.1.52,69,0,86.2071,0,45,10,0.408645,0
52,10.1.1.53,69,0,94.5936,0,29,6,0.408672,0
53,10.1.1.54,69,0,131.804,0,27,6,0.408634,0
54,10.1.1.55,69,0,149.737,0,44,6,0.408662,0
55,10.1.1.56,69,0,106.971,0,45,12,0.408598,0
56,10.1.1.57,69,0,84.8493,0,44,8,0.779801,0
57,10.1.1.58,69,0,81.1305,0,31,4,0.548636,0
58,10.1.1.59,69,0,115.567,0,26,4,0.40867,0
59,10.1.1.60,69,0,84.3933,0,43,6,0.408704,0
60,10.1.1.61,69,0,98.2327,0,47,12,0.408622,0
61,10.1.1.62,69,0,156.089,0,49,8,0.408592,0
62,10.1.1.63,69,0,150.683,0,35,6,0.408645,0
63,10.1.1.64,69,0,146.631,0,45,7,0.408618,0
64,10.1.1.65,69,0,100.475,0,38,6,0.408675,0
65,10.1.1.66,69,0,122.437,0,36,8,0.796429,0
66,10.1.1.67,69,0,109.05,0,38,8,0.408585,0
67,10.1.1.68,69,0,139.468,0,0,9,0.408599,0
68,10.1.1.69,69,0,119.899,0,36,8,0.408651,0
69,10.1.1.70,69,0,132.253,0,36,8,0.503033,0
70,10.1.1.71,69,0,122.854,0,41,8,1.85695,0
71,10.1.1.72,69,0,82.5118,0,27,6,0.408612,0
72,10.1.1.73,69,0,113.982,0,31,8,0.408686,0
73,10.1.1.74,69,0,153.357,0,23,4,0.742515,0
74,10.1.1.75,69,0,152.943,0,32,6,0.408624,0
75,10.1.1.76,69,0,136.49,0,33,8,0.53491,0
76,10.1.1.77,69,0,102.218,0,35,14,0.75894,0
77,10.1.1.78,69,0,137.753,0,30,6,0.408576,0
78,10.1.1.79,69,0,130.067,0,40,6,0.508527,0
79,10.1.1.80,69,0,107.396,0,36,8,0.425682,0
